,Set_1_A,MA_A,MB_A,Set_2_A,ATname_A,com_name_A,com_names_A,gene_fam_size_A,med_exp_level_A,max_exp_level_A,sim1_paralog_ks_A,ka_ks_evolve_rate_A,sim2_paralogs_max_perID_A,GO slimes_A,GO terms_A,Set_1_B,MA_B,MB_B,Set_2_B,ATname_B,com_name_B,com_names_B,gene_fam_size_B,med_exp_level_B,max_exp_level_B,sim1_paralog_ks_B,ka_ks_evolve_rate_B,sim2_paralogs_max_perID_B,GO slimes_B,GO terms_B,gene_fam_size_C,sim1_paralog_ks_C,med_exp_ratio_A/B,max_exp_ratio_A/B
10,15,AT3G14310,AT1G53830,15,AT3G14310,atpme3,"atpme3,ozs2,pme3",66.0,1625.252484,6695.083902,0.8098,0.148431712,78.17,"['other cellular processes', 'enzyme regulator activity', 'response to external stimulus', 'carbohydrate metabolic process', 'catabolic process', 'response to biotic stimulus', 'cell wall', 'other metabolic processes', 'response to stress', 'hydrolase activity', 'cytosol', 'RNA binding', 'cytoplasm', 'cellular component organization', 'extracellular region']","['response to fungus', 'defense response to Gram-negative bacterium', 'apoplast', 'pectinesterase activity', 'response to nematode', 'pectinesterase activity', 'pectinesterase inhibitor activity', 'cytosol', 'mRNA binding', 'pectinesterase activity', 'cytoplasm', 'pectinesterase activity', 'cell wall modification', 'plant-type cell wall', 'pectin catabolic process', 'plant-type cell wall']",15,AT3G14310,AT1G53830,15,AT1G53830,atpme2,"atpme2,pme2",66.0,7.297836048,456.1227061,0.8098,0.148431712,81.14,"['other cellular processes', 'carbohydrate metabolic process', 'catabolic process', 'other metabolic processes', 'enzyme regulator activity', 'cell wall', 'response to stress', 'hydrolase activity', 'cellular component organization', 'extracellular region']","['pectinesterase activity', 'pectinesterase activity', 'cell wall modification', 'callus formation', 'pectin catabolic process', 'extracellular region', 'plant-type cell wall', 'pectinesterase inhibitor activity']",66.0,0.8098,222.7033429238804,14.678251734593925
11,18,AT3G61600,AT2G46260,18,AT3G61600,atpob1,"atpob1,lrb2,pob1",3.0,507.9754374,993.4147421,1.0197,0.061488673,87.9,"['response to chemical', 'response to endogenous stimulus', 'response to light stimulus', 'protein binding', 'cytoplasm', 'nucleus']","['protein heterodimerization activity', 'protein homodimerization activity', 'protein binding', 'response to abscisic acid', 'cytoplasm', 'nucleus', 'cytoplasm', 'response to red light', 'nucleus', 'response to red light', 'protein binding']",18,AT3G61600,AT2G46260,18,AT2G46260,lrb1,lrb1,3.0,161.4790843,5298.288803,1.0197,0.061488673,88.08,"['protein binding', 'cytoplasm', 'response to light stimulus', 'nucleus']","['nucleus', 'protein binding', 'protein homodimerization activity', 'response to red light', 'protein heterodimerization activity', 'response to red light', 'cytoplasm', 'protein binding']",3.0,1.0197,3.1457661504710424,0.18749728054414627
12,20,AT3G14960,AT1G53290,20,AT3G14960,AT3G14960,at3g14960,14.0,138.2082836,1271.284517,0.6477,0.140188359,85.8,"['other cellular processes', 'other metabolic processes', 'Golgi apparatus', 'other biological processes', 'anatomical structure development', 'protein metabolic process', 'other membranes', 'other intracellular components', 'biosynthetic process', 'cell differentiation', 'cell growth', 'transferase activity']","['Golgi apparatus', 'protein localization', 'cell morphogenesis', 'glycosyltransferase activity', 'cell growth', 'Golgi apparatus', 'protein modification process', 'galactosyltransferase activity', 'protein glycosylation', 'Golgi membrane', 'macromolecule metabolic process', 'cell differentiation']",20,AT3G14960,AT1G53290,20,AT1G53290,AT1G53290,at1g53290,14.0,209.0577531,1059.453725,0.6477,0.140188359,85.8,"['other cellular processes', 'other metabolic processes', 'carbohydrate metabolic process', 'Golgi apparatus', 'protein metabolic process', 'anatomical structure development', 'transferase activity', 'other membranes', 'biosynthetic process', 'nucleobase-containing compound metabolic process', 'other intracellular components', 'secondary metabolic process', 'cell differentiation']","['Golgi apparatus', 'regulation of secondary cell wall biogenesis', 'tissue development', 'protein glycosylation', 'small molecule metabolic process', 'cell differentiation', 'positive regulation of RNA metabolic process', 'plant epidermis development', 'glycosyltransferase activity', 'Golgi membrane', 'galactosyltransferase activity', 'organonitrogen compound biosynthetic process', 'secondary metabolic process', 'organic cyclic compound biosynthetic process', 'cell wall organization or biogenesis', 'positive regulation of cellular biosynthetic process', 'aromatic compound biosynthetic process', 'Golgi apparatus', 'xylan metabolic process', 'regulation of macromolecule biosynthetic process']",14.0,0.6477,0.6611009711459488,1.1999434114028906
13,25,AT3G56170,AT2G40410,25,AT3G56170,can,"can,can1",2.0,272.2225313,3138.748786,0.6176,0.251943005,71.82,"['other metabolic processes', 'protein binding', 'nucleobase-containing compound metabolic process', 'nuclease activity', 'nucleic acid binding']","['nuclease activity', 'protein binding', 'nucleic acid phosphodiester bond hydrolysis', 'nucleic acid binding']",25,AT3G56170,AT2G40410,25,AT2G40410,atcan2,"atcan2,can2",2.0,254.7996728,447.6010409,0.6176,0.251943005,71.82,"['other cellular processes', 'catabolic process', 'other metabolic processes', 'DNA metabolic process', 'catalytic activity', 'nucleobase-containing compound metabolic process', 'nuclease activity']","['DNA catabolic process', 'RNA endonuclease activity', 'RNA catabolic process', 'DNA endonuclease activity']",2.0,0.6176,1.068378653349668,7.012380444176041
14,33,AT1G18150,AT1G73670,33,AT1G18150,atmpk8,"atmpk8,mpk8",293.0,274.031356,3615.044573,0.9496,0.095513901,78.83,"['response to chemical', 'response to endogenous stimulus', 'kinase activity', 'protein binding', 'signal transduction', 'response to stress', 'catalytic activity', 'nucleus', 'cytoplasm', 'transferase activity']","['nucleus', 'nucleus', 'response to reactive oxygen species', 'intracellular signal transduction', 'signal transduction', 'response to jasmonic acid', 'nucleus', 'MAP kinase activity', 'response to hydrogen peroxide', 'nucleus', 'MAP kinase activity', 'response to wounding', 'calmodulin binding', 'cytoplasm']",33,AT1G18150,AT1G73670,33,AT1G73670,atmpk15,"atmpk15,mpk15",293.0,127.1057226,647.1716723,0.9496,0.095513901,78.54,"['kinase activity', 'signal transduction', 'catalytic activity', 'nucleus', 'cytoplasm', 'transferase activity']","['nucleus', 'MAP kinase activity', 'intracellular signal transduction', 'signal transduction', 'nucleus', 'cytoplasm', 'MAP kinase activity']",293.0,0.9496,2.1559324819888164,5.585912869381938
15,34,AT1G07560,AT2G28960,34,AT1G07560,AT1G07560,at1g07560,330.0,11.36940365,307.6476011,2.3066,0.132142547,67.8,"['response to chemical', 'other metabolic processes', 'other cellular processes', 'response to external stimulus', 'cell communication', 'cellular homeostasis', 'kinase activity', 'protein binding', 'catalytic activity', 'unknown cellular components', 'transport', 'transferase activity']","['protein binding', 'protein binding', 'intracellular monoatomic cation homeostasis', 'inorganic anion transport', 'response to inorganic substance', 'kinase activity', 'protein serine/threonine kinase activity', 'protein phosphorylation', 'protein binding', 'cellular_component_unknown', 'phosphorylation', 'cellular response to extracellular stimulus', 'monoatomic ion transmembrane transport']",34,AT1G07560,AT2G28960,34,AT2G28960,AT2G28960,at2g28960,330.0,9.024412212,544.7656619,1.06,0.257169811,63.61,"['other cellular processes', 'other metabolic processes', 'response to external stimulus', 'other biological processes', 'response to biotic stimulus', 'cellular homeostasis', 'cell communication', 'protein binding', 'kinase activity', 'anatomical structure development', 'response to stress', 'catalytic activity', 'cell differentiation', 'multicellular organism development', 'response to abiotic stimulus', 'unknown cellular components', 'transport', 'transferase activity']","['protein binding', 'protein serine/threonine kinase activity', 'regulation of biological quality', 'cellular_component_unknown', 'intracellular monoatomic cation homeostasis', 'protein phosphorylation', 'defense response to fungus', 'cellular response to extracellular stimulus', 'monoatomic ion transport', 'plant epidermis development', 'phosphorylation', 'cell development', 'root development', 'response to bacterium', 'response to hypoxia']",330.0,,1.259849770036192,0.5647338344105715
16,35,AT2G15300,AT4G34220,35,AT2G15300,AT2G15300,at2g15300,227.0,7.935209509,60.69012584,0.7765,0.253187379,67.59,"['nucleotide binding', 'other cellular processes', 'other metabolic processes', 'response to chemical', 'cell growth', 'other biological processes', 'kinase activity', 'anatomical structure development', 'response to stress', 'catalytic activity', 'multicellular organism development', 'other binding', 'nucleobase-containing compound metabolic process', 'growth', 'response to abiotic stimulus', 'chloroplast', 'cellular component organization', 'transferase activity']","['regulation of biological quality', 'developmental growth', 'protein phosphorylation', 'defense response', 'response to water deprivation', 'cell morphogenesis', 'cell wall modification', 'cell growth', 'protein kinase activity', 'organelle organization', 'ATP binding', 'phosphorylation', 'chloroplast', 'RNA metabolic process', 'root development', 'kinase activity', 'plant organ morphogenesis']",35,AT2G15300,AT4G34220,35,AT4G34220,AT4G34220,at4g34220,227.0,223.788066,756.2168974,0.7765,0.253187379,67.85,"['nucleotide binding', 'other cellular processes', 'response to chemical', 'response to external stimulus', 'other metabolic processes', 'cell communication', 'response to endogenous stimulus', 'protein binding', 'plasma membrane', 'response to stress', 'signal transduction', 'multicellular organism development', 'other binding', 'response to abiotic stimulus', 'chloroplast', 'post-embryonic development']","['protein binding', 'cellular response to water deprivation', 'protein phosphorylation', 'positive regulation of seed germination', 'ATP binding', 'plasma membrane', 'chloroplast', 'positive regulation of abscisic acid-activated signaling pathway']",227.0,0.7765,0.03545859102692277,0.08025491899038859
17,37,AT2G35930,AT3G52450,37,AT2G35930,atpub23,"atpub23,pub23",48.0,41.294274,1080.339276,0.8106,0.139032815,75.81,"['response to chemical', 'other metabolic processes', 'response to stress', 'catalytic activity', 'cytosol', 'response to abiotic stimulus', 'cytoplasm', 'transferase activity']","['defense response', 'cytosol', 'response to water deprivation', 'ubiquitin protein ligase activity', 'ubiquitin-protein transferase activity', 'ubiquitin-protein transferase activity', 'cytoplasm', 'respiratory burst involved in defense response']",37,AT2G35930,AT3G52450,37,AT3G52450,atpub22,"atpub22,pub22",48.0,12.90227197,579.5778437,0.8106,0.139032815,75.81,"['response to chemical', 'other metabolic processes', 'protein binding', 'response to stress', 'catalytic activity', 'cytosol', 'nucleus', 'response to abiotic stimulus', 'transferase activity']","['cytosol', 'defense response', 'ubiquitin-protein transferase activity', 'protein binding', 'nucleus', 'response to water deprivation', 'ubiquitin-protein transferase activity', 'ubiquitin protein ligase activity', 'ubiquitin-protein transferase activity', 'respiratory burst involved in defense response']",48.0,0.8106,3.2005428265670024,1.8640106548986768
18,38,AT3G01650,AT5G14420,38,AT3G01650,rglg1,rglg1,5.0,140.9172899,1888.284264,1.1211,0.099455892,81.63,"['response to chemical', 'other cellular processes', 'other metabolic processes', 'cell communication', 'response to endogenous stimulus', 'plasma membrane', 'protein binding', 'signal transduction', 'catalytic activity', 'response to stress', 'nucleus', 'response to abiotic stimulus', 'transferase activity']","['ubiquitin-protein transferase activity', 'plasma membrane', 'protein binding', 'protein binding', 'positive regulation of abscisic acid-activated signaling pathway', 'auxin metabolic process', 'negative regulation of response to water deprivation', 'nucleus', 'protein binding', 'protein binding', 'cytokinin metabolic process', 'ubiquitin-protein transferase activity', 'ubiquitin protein ligase activity', 'plasma membrane', 'protein binding', 'nucleus', 'nucleus', 'positive regulation of abscisic acid-activated signaling pathway', 'nucleus']",38,AT3G01650,AT5G14420,38,AT5G14420,rglg2,rglg2,5.0,124.3295899,662.2891352,1.1211,0.099455892,81.63,"['other cellular processes', 'response to chemical', 'other metabolic processes', 'protein binding', 'plasma membrane', 'response to stress', 'catalytic activity', 'nucleus', 'response to abiotic stimulus', 'transferase activity']","['negative regulation of response to water deprivation', 'auxin metabolic process', 'protein binding', 'protein binding', 'cytokinin metabolic process', 'nucleus', 'plasma membrane', 'ubiquitin-protein transferase activity', 'protein binding', 'nucleus', 'ubiquitin-protein transferase activity', 'nucleus', 'nucleus', 'nucleus', 'ubiquitin-protein transferase activity', 'nucleus']",5.0,1.1211,1.1334171536586077,2.851147880343485
19,40,AT4G11070,AT4G23810,40,AT4G11070,atwrky41,"atwrky41,wrky41",,,,,,,"['other cellular processes', 'other metabolic processes', 'response to external stimulus', 'response to chemical', 'other biological processes', 'response to biotic stimulus', 'protein binding', 'DNA-binding transcription factor activity', 'response to stress', 'biosynthetic process', 'nucleobase-containing compound metabolic process', 'DNA binding', 'nucleus', 'nucleic acid binding']","['regulation of DNA-templated transcription', 'DNA-binding transcription factor activity', 'defense response to fungus', 'regulation of defense response', 'transcription cis-regulatory region binding', 'DNA-binding transcription factor activity', 'response to inorganic substance', 'protein binding', 'regulation of immune response', 'nucleus', 'nucleus', 'DNA-binding transcription factor activity', 'nucleus', 'innate immune response', 'response to salicylic acid', 'regulation of DNA-templated transcription', 'DNA-binding transcription factor activity', 'systemic acquired resistance', 'defense response to bacterium']",40,AT4G11070,AT4G23810,40,AT4G23810,atwrky53,"atwrky53,wrky53",,,,,,,"['response to chemical', 'other metabolic processes', 'response to biotic stimulus', 'cell communication', 'DNA-binding transcription factor activity', 'anatomical structure development', 'signal transduction', 'DNA binding', 'nucleic acid binding', 'response to external stimulus', 'response to stress', 'nucleus', 'biosynthetic process', 'other cellular processes', 'response to endogenous stimulus', 'protein binding', 'multicellular organism development', 'nucleobase-containing compound metabolic process', 'chloroplast']","['defense response to bacterium', 'nucleus', 'protein binding', 'DNA binding', 'response to ozone', 'leaf senescence', 'defense response to bacterium', 'response to salicylic acid', 'DNA binding', 'DNA-binding transcription factor activity', 'protein binding', 'regulation of jasmonic acid mediated signaling pathway', 'protein binding', 'protein binding', 'nucleus', 'chloroplast', 'nucleus', 'nucleus', 'DNA-binding transcription factor activity', 'protein binding', 'DNA-binding transcription factor activity', 'response to hydrogen peroxide', 'transcription cis-regulatory region binding', 'response to bacterium', 'protein binding', 'positive regulation of DNA-templated transcription', 'protein binding', 'DNA-binding transcription factor activity', 'response to salicylic acid', 'DNA-binding transcription factor activity', 'regulation of defense response']",,,,
20,41,AT4G19520,AT5G45240,41,AT4G19520,AT4G19520,at4g19520,,,,,,,"['nucleotide binding', 'response to chemical', 'other cellular processes', 'signal transduction', 'response to stress', 'other binding', 'hydrolase activity', 'cytoplasm', 'response to abiotic stimulus']","['NAD+ nucleotidase, cyclic ADP-ribose generating', 'cytoplasm', 'cytoplasm', 'cytoplasm', 'ADP binding', 'cytoplasm', 'signal transduction', 'defense response', 'cytoplasm', 'cellular response to hypoxia', 'NAD(P)+ nucleosidase activity']",41,AT4G19520,AT5G45240,41,AT5G45240,AT5G45240,at5g45240,141.0,6.800269154,14.52814422,1.683,0.384551396,46.53,"['nucleotide binding', 'other binding', 'cytoplasm', 'signal transduction']","['signal transduction', 'ADP binding', 'cytoplasm', 'cytoplasm']",,,,
