locus|CommonName
AT1G03380|ATATG18G,ATG18G
AT1G03410|2A6
AT1G03430|AHP5
AT1G03445|BSU1
AT1G03457|AtBRN2,BRN2
AT1G03470|NET3A
AT1G03475|ATCPO-I,HEMF1,LIN2
AT1G03530|ATNAF1,NAF1
AT1G03550|AtSCAMP4,SCAMP4
AT1G03600|PSB27
AT1G03630|POR,PORC
AT1G03680|ATHM1,ATM1,THM1,TRX-M1
AT1G03750|CHR9
AT1G03770|ATRING1B,RING1B
AT1G03780|AtTPX2,TPX2
AT1G03790|AtTZF4,SOM,TZF4
AT1G03800|ATERF10,ERF10
AT1G03840|MGP
AT1G03850|ATGRXS13,GRXS13
AT1G03860|ATPHB2,PHB2
AT1G03870|FLA9
AT1G03900|ABCI18,ATNAP4,NAP4
AT1G03905|ABCI19
AT1G03910|CTN
AT1G03930|ADK1,CKL9ALPHA,CKL9BETA
AT1G03950|VPS2.3
AT1G03970|GBF4
AT1G03980|ATPCS2,PCS2
AT1G04010|ATPSAT1,ERP1,PSAT1
AT1G04020|ATBARD1,BARD1,ROW1
AT1G04050|SDG13,SUVR1
AT1G04070|ATTOM22-I,TOM22-I
AT1G04080|PRP39
AT1G04100|IAA10
AT1G04110|AtSDD1,SDD1
AT1G04120|ABCC5,ATABCC5,ATMRP5,MRP5
AT1G04130|AtTPR2,TPR2
AT1G04160|ATXIB,XI-8,XIB,XI-B
AT1G04170|EIF2
AT1G04180|YUC9
AT1G04190|TPR3
AT1G04220|KCS2
AT1G04240|IAA3,SHY2
AT1G04250|AXR3,IAA17
AT1G04260|MPI7,MPIP7,PRA1.D
AT1G04270|RPS15
AT1G04310|ERS2
AT1G04370|ATERF14,ERF14
AT1G04400|ATCRY2,AT-PHH1,CRY2,FHA,PHH1
AT1G04410|c-NAD-MDH1
AT1G04440|CKL13
AT1G04450|RIC3
AT1G04510|MAC3A
AT1G04520|PDLP2
AT1G04530|TPR4
AT1G04550|BDL,IAA12
AT1G04580|AAO4,AO4,ATAO2,ATAO-4
AT1G04600|ATXIA,XIA
AT1G04610|YUC3
AT1G04620|HCAR
AT1G04630|MEE4
AT1G04635|AtPOP5,EMB1687,POP5
AT1G04640|LIP2
AT1G04690|KAB1,KV-BETA1
AT1G04710|KAT1,PKT4
AT1G04730|CTF18
AT1G04750|AT,ATVAMP721,VAMP721,VAMP7B
AT1G04760|ATVAMP726,VAMP726
AT1G04820|TOR2,TUA4
AT1G04860|ATUBP2,UBP2
AT1G04870|ATPRMT10,PRMT10
AT1G04920|ATSPS3F,SPS3F
AT1G04940|atTIC20,AtTic20-I,TIC20,Tic20-I
AT1G04950|ATTAF6,EMB2781,TAF6,TAFII59
AT1G04980|ATPDI10,ATPDIL2-2,PDI10,PDIL2-2
AT1G05000|AtPFA-DSP1,PFA-DSP1
AT1G05010|ACO4,EAT1,EFE
AT1G05055|ATGTF2H2,GTF2H2
AT1G05065|CLE20
AT1G05100|MAPKKK18
AT1G05160|ATKAO1,CYP88A3,KAO1
AT1G05180|AXR1
AT1G05190|emb2394
AT1G05200|ATGLR3.4,GLR3.4,GLUR3
AT1G05230|HDG2
AT1G05260|RCI3,RCI3A
AT1G05300|ZIP5
AT1G05360|KMS2
AT1G05385|LPA19,Psb27-H1
AT1G05420|ATOFP12,OFP12
AT1G05460|SDE3
AT1G05470|CVP2
AT1G05490|chr31
AT1G05500|ATSYTE,NTMC2T2.1,NTMC2TYPE2.1,SYT5,SYTE
AT1G05510|OBAP1a
AT1G05530|UGT2,UGT75B2
AT1G05560|UGT1,UGT75B1
AT1G05570|ATGSL06,ATGSL6,CALS1,GSL06,GSL6
AT1G05580|ATCHX23,CHX23
AT1G05590|ATHEX3,HEXO2
AT1G05600|EMB3101
AT1G05610|APS2
AT1G05620|NSH2,URH2
AT1G05630|5PTASE13,AT5PTASE13
AT1G05680|UGT74E2
AT1G05690|BT3
AT1G05750|CLB19,PDE247
AT1G05760|RTM1
AT1G05800|DGL
AT1G05805|AKS2
AT1G05810|ARA,ARA-1,ATRAB11D,ATRABA5E,RABA5E
AT1G05820|ATSPPL5,SPPL5
AT1G05830|ATX2,SDG30
AT1G05850|ATCTL1,CTL1,ELP,ELP1,ERH2,HOT2,POM1
AT1G05880|ARI12,ATARI12
AT1G05890|ARI5,ATARI5
AT1G05900|ATNTH2,NTH2
AT1G05940|CAT9
AT1G05990|RHS1
AT1G06040|BBX24,STO
AT1G06080|ADS1,AtADS1
AT1G06110|SKIP16
AT1G06130|GLX2-4
AT1G06140|MEF3
AT1G06150|EMB1444
AT1G06160|ORA59
AT1G06180|ATMYB13,ATMYBLFGN,MYB13
AT1G06190|RHON1
AT1G06220|CLO,GFA1,MEE5
AT1G06225|CLE3
AT1G06230|GTE4
AT1G06290|ACX3,ATACX3
AT1G06310|ACX6
AT1G06350|ADS4,AtADS4
AT1G06390|ATGSK1,ATSK22,ATSK2-3,BIL2,GSK1,SK22
AT1G06400|ARA2,ARA-2,ATRAB11E,ATRABA1A
AT1G06410|ATTPS7,ATTPSA,TPS7
AT1G06430|FTSH8
AT1G06460|ACD31.2,ACD32.1
AT1G06490|ATGSL07,atgsl7,CalS7,gsl07,GSL07,GSL7
AT1G06520|ATGPAT1,GPAT1,sn-2-GPAT1
AT1G06530|PMD2
AT1G06570|HPD,HPPD,PDS1
AT1G06660|JASON
AT1G06670|NIH
AT1G06680|OE23,OEE2,PSBP-1,PSII-P
AT1G06710|MTSF1
AT1G06770|DRIP1
AT1G06780|GAUT6
AT1G06800|DALL4,PLA-I{gamma}1
AT1G06820|CCR2,CRTISO
AT1G06850|AtbZIP52,bZIP52
AT1G06870|Plsp2A
AT1G06910|TRFL7
AT1G06920|ATOFP4,OFP4
AT1G06950|ATTIC110,TIC110
AT1G06970|ATCHX14,CHX14
AT1G07000|ATEXO70B2,EXO70B2
AT1G07010|AtSLP1,SLP1
AT1G07060|ATDFO,DFO
AT1G07090|LSH6
AT1G07110|ATF2KP,F2KP,FKFBP
AT1G07130|ATSTN1,STN1
AT1G07140|SIRANBP
AT1G07150|MAPKKK13
AT1G07180|ATNDI1,NDA1
AT1G07200|SMXL6
AT1G07230|NPC1
AT1G07240|UGT71C5
AT1G07250|UGT71C4
AT1G07260|UGT71C3
AT1G07290|GONST2
AT1G07320|EMB2784,PRPL4,RPL4
AT1G07350|SR45a
AT1G07360|MAC5A
AT1G07370|ATPCNA1,PCNA1
AT1G07390|AtRLP1,RLP1
AT1G07410|ATRABA2B,ATRAB-A2B,RABA2b,RAB-A2B
AT1G07420|ATSMO1,SMO2-1
AT1G07430|AIP1,AtAIP1,HAI2,HON
AT1G07490|DVL9,RTFL3
AT1G07500|SMR5
AT1G07510|ftsh10
AT1G07530|ATGRAS2,GRAS2,SCL14
AT1G07540|TRFL2
AT1G07570|APK1,APK1A
AT1G07600|ATMT1,ATMT-2,ATMT-Q,LSR4,MT1,MT1A,MT-Q
AT1G07610|MT1C
AT1G07620|ATOBGM,TRM32
AT1G07630|PLL5
AT1G07640|OBP2,URP3
AT1G07645|ATDSI-1VOC,DSI-1VOC
AT1G07670|ATECA4,ECA4
AT1G07705|NOT2a
AT1G07720|KCS3
AT1G07725|ATEXO70H6,EXO70H6
AT1G07745|ATRAD51D,RAD51D,SSN1
AT1G07770|RPS15A
AT1G07780|PAI1,TRP6
AT1G07790|HTB1
AT1G07810|ACA3,ATECA1,ECA1
AT1G07880|ATMPK13
AT1G07890|APX1,ATAPX01,ATAPX1,CS1,MEE6
AT1G07900|LBD1
AT1G07910|AtRLG1,ATRNL,RNL
AT1G07950|MED22B
AT1G07960|ATPDIL5-1,PDIL5-1
AT1G07980|NF-YC10
AT1G08000|GATA10
AT1G08010|GATA11
AT1G08030|AQC1,TPST
AT1G08060|MOM,MOM1
AT1G08070|EMB3102,OTP82
AT1G08080|ACA7,ATACA7
AT1G08090|ACH1,ATNRT2:1,ATNRT2.1,LIN1,NRT2,NRT2:1,NRT2.1,NRT2;1AT
AT1G08100|ACH2,ATNRT2.2,NRT2.2,NRT2;2AT
AT1G08130|ATLIG1,LIG1
AT1G08140|ATCHX6A,CHX6A
AT1G08150|ATCHX5,CHX5
AT1G08190|ATVAM2,ATVPS41,VAM2,VPS41,ZIP2
AT1G08200|AXS2
AT1G08250|ADT6,AtADT6
AT1G08260|ABO4,EMB142,EMB2284,EMB529,ESD7,POL2A,TIL1
AT1G08290|WIP3
AT1G08300|NVL
AT1G08320|bZIP21,TGA9
AT1G08370|ATDCP1,DCP1
AT1G08380|PSAO
AT1G08420|BSL2
AT1G08430|ALMT1,ATALMT1
AT1G08450|AtCRT3,CRT3,EBS2,PSL1
AT1G08460|ATHDA8,HDA08,HDA8
AT1G08465|YAB2
AT1G08470|SSL3
AT1G08480|SDH6
AT1G08490|ATCPNIFS,ATNFS2,ATSUFS,CPNIFS,SUFS
AT1G08500|AtENODL18,ENODL18
AT1G08510|FATB
AT1G08520|ALB1,ALB-1V,CHLD,PDE166,V157
AT1G08540|ABC1,ATSIG1,ATSIG2,SIG1,SIG2,SIGA,SIGB
AT1G08550|AVDE1,NPQ1
AT1G08560|ATSYP111,KN,SYP111
AT1G08570|ACHT4
AT1G08600|ATRX,CHR20
AT1G08620|PKDM7D
AT1G08630|THA1
AT1G08640|CJD1
AT1G08650|ATPPCK1,PPCK1
AT1G08660|MGP2
AT1G08680|AGD14,ZIGA4
AT1G08700|PS1
AT1G08720|ATEDR1,EDR1
AT1G08730|ATXIC,XIC
AT1G08770|PRA1.E
AT1G08780|AIP3,PFD4
AT1G08800|MyoB1
AT1G08810|AtMYB60,MYB60
AT1G08820|VAP27-2
AT1G08830|CSD1
AT1G08840|emb2411
AT1G08860|BON3
AT1G08880|GAMMA-H2AX,G-H2AX,H2AXA,HTA5
AT1G08920|ESL1
AT1G08930|ERD6
AT1G08960|ATCAX11,AtCXX5,CAX11,CCX5
AT1G08970|HAP5C,NF-YC9
AT1G08980|AMI1,ATAMI1,ATTOC64-I,TOC64-I
AT1G08990|GUX5,PGSIP5
AT1G09000|ANP1,MAPKKK1,NP1
AT1G09020|ATSNF4,SNF4
AT1G09070|AtSRC2,(AT)SRC2,SRC2
AT1G09080|BIP3
AT1G09090|ATRBOHB,ATRBOHB-BETA,RBOHB
AT1G09100|RPT5B
AT1G09140|At-SR30,ATSRP30,ATSRP30.1,ATSRP30.2,SR30
AT1G09155|AtPP2-B15,PP2-B15
AT1G09180|ATSAR1,ATSARA1A,SARA1A
AT1G09200|H3.1
AT1G09210|AtCRT1b,CRT1b
AT1G09240|ATNAS3,NAS3
AT1G09250|AIF4
AT1G09270|IMPA-4
AT1G09330|ECH
AT1G09340|CRB,CSP41B,HIP1.3
AT1G09350|AtGolS3,GolS3
AT1G09380|UMAMIT25
AT1G09415|NIMIN-3
AT1G09420|G6PD4
AT1G09430|ACLA-3
AT1G09450|AtHaspin,Haspin
AT1G09530|PAP3,PIF3,POC1
AT1G09540|ATMYB61,MYB61
AT1G09560|GLP5,PDGLP1
AT1G09570|FHY2,FRE1,HY8,PHYA
AT1G09610|GXM3
AT1G09630|ATRAB11C,ATRABA2A,ATRAB-A2A,RAB11c,RAB-A2A
AT1G09700|DRB1,HYL1
AT1G09720|NET2B
AT1G09760|U2A'
AT1G09770|ATCDC5,ATMYBCDC5,CDC5
AT1G09780|iPGAM1
AT1G09790|COBL6
AT1G09795|ATATP-PRT2,ATP-PRT2,HISN1B
AT1G09810|ECT11
AT1G09815|POLD4
AT1G09830|PUR2
AT1G09840|AtHIR1,ATSK41,HIR1,SK41
AT1G09850|XBCP3
AT1G09860|ATPUP16,PUP16
AT1G09930|ATOPT2,OPT2
AT1G09940|HEMA2
AT1G09950|RAS1
AT1G09960|ATSUC4,ATSUT4,SUC4,SUT4
AT1G09970|LRR,RLK7
AT1G10010|AAP8,ATAAP8
AT1G10030|ERG28
AT1G10060|ATBCAT-1,BCAT1,BCAT-1
AT1G10070|ATBCAT-2,BCAT2,BCAT-2
AT1G10130|ATECA3,ECA3
AT1G10155|ATPP2-A10,PP2-A10
AT1G10170|ATNFXL1,NFXL1
AT1G10200|AtWLIM1,WLIM1
AT1G10210|ATMPK1,MPK1
AT1G10230|ASK18,SK18
AT1G10240|FRS11
AT1G10270|GRP23
AT1G10290|ADL6,DRP2A
AT1G10360|ATGSTU18,GST29,GSTU18
AT1G10370|ATGSTU17,ERD9,GST30,GST30B,GSTU17
AT1G10430|PP2A-2
AT1G10450|SNL6
AT1G10460|GLP7
AT1G10470|ARR4,ATRR1,IBC7,MEE7
AT1G10480|ZFP5
AT1G10500|ATCPISCA,CPISCA
AT1G10510|emb2004
AT1G10520|AtPol{lambda},Pol{lambda}
AT1G10522|PRIN2
AT1G10540|ATNAT8,NAT8
AT1G10550|XET,XTH33
AT1G10560|ATPUB18,PUB18
AT1G10570|OTS2,ULP1C
AT1G10600|AMSH2
AT1G10620|AtPERK11,PERK11
AT1G10630|ARFA1F,ATARFA1F
AT1G10670|ACLA-1
AT1G10680|ABCB10,PGP10
AT1G10700|PRS3
AT1G10710|PHS1
AT1G10730|AP1M1
AT1G10760|GWD,GWD1,SEX1,SOP,SOP1
AT1G10830|Z-ISO,Z-ISO1.1,Z-ISO1.2
AT1G10840|TIF3H1
AT1G10870|AGD4
AT1G10910|EMB3103
AT1G10920|LOV1
AT1G10930|ATRECQ4A,ATSGS1,RECQ4A
AT1G10940|ASK1,SNRK2-4,SNRK2.4,SRK2A
AT1G10950|AtTMN1,EMP12,TMN1
AT1G10960|ATFD1,FD1
AT1G10970|ATZIP4,ZIP4
AT1G11000|ATMLO4,MLO4
AT1G11080|scpl31
AT1G11130|SCM,SRF9,SUB
AT1G11180|AtSCAMP2,SCAMP2
AT1G11190|BFN1,ENDO1
AT1G11250|ATSYP125,SYP125
AT1G11260|ATSTP1,STP1
AT1G11290|CRR22
AT1G11310|ATMLO2,MLO2,PMR2
AT1G11350|CBRLK1,RKS2,SD1-13
AT1G11400|PYM
AT1G11420|ATDUF2,DUF2
AT1G11430|MORF9
AT1G11450|UMAMIT27
AT1G11460|UMAMIT26
AT1G11475|NRPB10,NRPD10,NRPE10
AT1G11530|ATCXXS1,CXXS1
AT1G11545|XTH8
AT1G11570|NTL
AT1G11580|ATPMEPCRA,PMEPCRA
AT1G11600|CYP77B1
AT1G11610|CYP71A18
AT1G11650|ATRBP45B,RBP45B
AT1G11680|CYP51,CYP51A2,CYP51G1,EMB1738
AT1G11720|ATSS3,SS3
AT1G11750|CLPP6,NCLPP1,NCLPP6
AT1G11755|LEW1
AT1G11760|MED32
AT1G11790|ADT1,AtADT1
AT1G11840|ATGLX1,GLX1
AT1G11870|ATSRS,OVA7,SRS
AT1G11890|ATSEC22,SEC22
AT1G11910|APA1,ATAPA1
AT1G12040|LRX1
AT1G12050|AtFAH,FAH,SSCD1
AT1G12060|ATBAG5,BAG5
AT1G12090|ELP
AT1G12110|AtNPF6.3,ATNRT1,B-1,CHL1,CHL1-1,NPF6.3,NRT1,NRT1.1
AT1G12140|FMO
AT1G12200|FMO
AT1G12210|RFL1
AT1G12220|RPS5
AT1G12240|ATBETAFRUCT4,AtFRUCT4,AtVI2,FRUCT4,VAC-INV,VI2
AT1G12260|ANAC007,EMB2749,NAC007,VND4
AT1G12270|Hop1
AT1G12280|SUMM2
AT1G12350|ATCOAB,COAB
AT1G12360|KEU,SEC11
AT1G12370|PHR1,UVR2
AT1G12410|CLP2,CLPR2,EMB3146,NCLPP2
AT1G12420|ACR8
AT1G12430|ARK3,AtKINUa,PAK
AT1G12480|CDI3,OZS1,RCD3,SLAC1
AT1G12520|ATCCS,CCS
AT1G12530|MOS9
AT1G12550|HPR3
AT1G12560|ATEXP7,ATEXPA7,ATHEXP,EXP7,EXPA7
AT1G12580|PEPKR1
AT1G12610|DDF1
AT1G12640|AtLPLAT1,LPCAT1,LPLAT1
AT1G12680|PEPKR2
AT1G12700|RPF1
AT1G12710|AtPP2-A12,PP2-A12
AT1G12740|CYP87A2
AT1G12750|ATRBL6,RBL6
AT1G12770|EMB1586,ISE1
AT1G12780|ATUGE1,UGE1
AT1G12820|AFB3
AT1G12840|ATVHA-C,DET3
AT1G12860|ICE2,SCRM2
AT1G12880|atnudt12,NUDT12
AT1G12900|GAPA-2
AT1G12910|ATAN11,LWD1
AT1G12920|ERF1-2
AT1G12940|ATNRT2.5,NRT2.5
AT1G12950|RSH2
AT1G12970|PIRL3
AT1G13020|EIF4B2
AT1G13030|Atcoilin,COILIN
AT1G13060|PBE1
AT1G13080|CYP71B2
AT1G13090|CYP71B28
AT1G13100|CYP71B29
AT1G13110|CYP71B7
AT1G13120|AtGLE1,GLE1
AT1G13150|CYP86C4
AT1G13170|ORP1D
AT1G13180|ARP3,ATARP3,DIS1
AT1G13210|ACA.l
AT1G13220|CRWN2,LINC2
AT1G13245|DVL4,RTFL17
AT1G13250|GATL3
AT1G13260|EDF4,RAV1
AT1G13270|MAP1B,MAP1C
AT1G13280|AOC4
AT1G13300|HRS1
AT1G13320|PP2AA3
AT1G13330|AHP2
AT1G13420|ATST4B,ST4B
AT1G13430|ATST4C,ST4C
AT1G13440|GAPC2,GAPC-2
AT1G13450|GT-1
AT1G13560|AAPT1,ATAAPT1
AT1G13580|LAG13,LOH3
AT1G13600|AtbZIP58,bZIP58
AT1G13690|ATE1
AT1G13700|PGL1
AT1G13710|CYP78A5,KLU
AT1G13740|AFP2
AT1G13770|RUS3
AT1G13790|FDM4
AT1G13800|FAC19
AT1G13860|QUL1
AT1G13870|AtKTI12,DRL1
AT1G13890|ATSNAP30,SNAP30
AT1G13900|PAP2
AT1G13950|ATELF5A-1,EIF5A,EIF-5A,ELF5A-1
AT1G13960|WRKY4
AT1G13980|EMB30,GN,VAN7
AT1G14000|VIK
AT1G14030|LSMT-L
AT1G14070|FUT7
AT1G14080|ATFUT6,FUT6
AT1G14100|FUT8
AT1G14140|UCP3
AT1G14150|PnsL2,PQL1,PQL2
AT1G14280|PKS2
AT1G14290|SBH2
AT1G14320|RPL10,RPL10A,SAC52
AT1G14350|AtMYB124,FLP,MYB124
AT1G14360|ATUTR3,UTR3
AT1G14370|APK2A,Kin1,PBL2
AT1G14380|IQD28
AT1G14400|ATUBC1,UBC1
AT1G14410|ATWHY1,PTAC1,WHY1
AT1G14420|AT59
AT1G14440|AtHB31,FTM2,HB31,ZHD4
AT1G14490|AHL28
AT1G14510|AL7,AtAL7
AT1G14520|MIOX1
AT1G14530|THH1
AT1G14540|PER4
AT1G14560|CoAc1
AT1G14570|AtPUX7,PUX7
AT1G14610|TWN2,VALRS
AT1G14620|DECOY
AT1G14660|ATNHX8,NHX8
AT1G14685|ATBPC2,BBR/BPC2,BPC2
AT1G14687|AtHB32,HB32,ZHD14
AT1G14690|MAP65-7
AT1G14700|ATPAP3,PAP3
AT1G14720|ATXTH28,EXGT-A2,XTH28,XTR2
AT1G14740|TTA1
AT1G14750|SDS
AT1G14760|KNATM
AT1G14790|AtRDR1,ATRDRP1,RDR1
AT1G14830|ADL1C,ADL5,DL1C,DRP1C
AT1G14840|ATMAP70-4,MAP70-4
AT1G14850|NUP155
AT1G14860|atnudt18,NUDT18
AT1G14870|AtPCR2,PCR2
AT1G14880|AtPCR1,PCR1
AT1G14900|HMGA
AT1G14920|GAI,RGA2
AT1G14980|CPN10
AT1G15000|scpl50
AT1G15020|ATQSOX1,QSO2,QSOX1
AT1G15040|GAT,GAT1_2.1
AT1G15050|IAA34
AT1G15080|ATLPP2,ATPAP2,LPP2
AT1G15100|RHA2A
AT1G15110|PSS1
AT1G15210|ABCG35,ATPDR7,PDR7
AT1G15215|DTF1,SHH1
AT1G15220|ATCCMH,CCMH
AT1G15310|ATHSRP54A,SRP54-1
AT1G15340|MBD10
AT1G15360|AtSHN1,SHN1,WIN1
AT1G15380|GLYI4
AT1G15390|ATDEF1,PDF1A
AT1G15440|ATPWP2,PWP2
AT1G15460|ATBOR4,BOR4
AT1G15500|ATNTT2
AT1G15510|ATECB2,ECB2,VAC1
AT1G15520|ABCG40,ATABCG40,ATPDR12,PDR12
AT1G15530|LecRK-S.1
AT1G15550|ATGA3OX1,GA3OX1,GA4
AT1G15570|CYCA2;3
AT1G15580|ATAUX2-27,AUX2-27,IAA5
AT1G15660|CENP-C
AT1G15670|KFB01,KMD2
AT1G15690|AtAVP1,ATAVP3,AtVHP1;1,AVP1,AVP-3,FUGU5,VHP1
AT1G15700|ATPC2
AT1G15720|TRFL5
AT1G15750|TPL,WSIP1
AT1G15780|NRB4
AT1G15820|CP24,LHCB6
AT1G15880|atgos11,GOS11
AT1G15910|FDM1,IDNL1,IDP1
AT1G15950|ATCCR1,CCR1,IRX4
AT1G15960|ATNRAMP6,NRAMP6
AT1G15980|NDF1,NDH48,PnsB1
AT1G15990|ATCNGC7,CNGC7
AT1G16010|AtMGT2,AtMRS2-1,MGT2,MRS2-1
AT1G16030|Hsp70b
AT1G16060|ADAP,WRI3
AT1G16070|AtTLP8,TLP8
AT1G16090|WAKL7
AT1G16110|WAKL6
AT1G16120|WAKL1
AT1G16130|WAKL2
AT1G16150|WAKL4
AT1G16160|WAKL5
AT1G16190|RAD23A
AT1G16240|ATSYP51,SYP51
AT1G16280|AtRH36,RH36,SWA3
AT1G16300|GAPCP-2
AT1G16330|CYCB3;1
AT1G16340|ATKDSA2,ATKSDA
AT1G16370|ATOCT6,OCT6
AT1G16390|ATOCT3,OCT3
AT1G16400|CYP79F2
AT1G16410|BUS1,CYP79F1,SPS1
AT1G16420|ATMC8,AtMCP2e,MC8,MCP2e
AT1G16440|RSH3
AT1G16460|ATMST2,ATRDH2,MST2,RDH2,ST2,STR2
AT1G16470|PAB1
AT1G16490|ATMYB58,MYB58
AT1G16510|SAUR41
AT1G16530|ASL9,LBD3
AT1G16540|ABA3,ACI2,ATABA3,AtLOS5,LOS5,SIR3
AT1G16590|ATREV7,REV7
AT1G16610|AtSR45,RNPS1,SR45
AT1G16710|HAC12
AT1G16720|HCF173
AT1G16730|UP6
AT1G16780|AtVHP2;2,VHP2;2
AT1G16858|CPuORF55
AT1G16880|ACR11
AT1G16890|AtUBC36,UBC13B,UBC36
AT1G16900|EBS3
AT1G16910|LSH8
AT1G16920|ATRABA1B,BEX5,RAB11,RABA1b
AT1G16970|ATKU70,KU70
AT1G16980|ATTPS2,TPS2
AT1G17000|ATTPS3,TPS3
AT1G17020|ATSRG1,SRG1
AT1G17040|ATSHA,SHA,STATLA
AT1G17050|AtSPS2,SPS2
AT1G17060|CHI2,CYP72C1,SHK1,SOB7
AT1G17070|STIPL1
AT1G17100|AtHBP1,HBP1
AT1G17110|UBP15
AT1G17120|CAT8
AT1G17140|ICR1,RIP1
AT1G17170|ATGSTU24,GST,GSTU24
AT1G17180|ATGSTU25,GSTU25
AT1G17190|ATGSTU26,GSTU26
AT1G17210|ATILP1,ILP1
AT1G17220|FUG1
AT1G17235|RTFL11
AT1G17240|AtRLP2,RLP2
AT1G17250|AtRLP3,RFO2,RLP3
AT1G17260|AHA10
AT1G17280|UBC34
AT1G17290|AlaAT1
AT1G17345|SAUR77
AT1G17370|UBP1B
AT1G17380|JAZ5,TIFY11A
AT1G17420|ATLOX3,LOX3
AT1G17440|CKH1,EER4,TAF12B
AT1G17455|ELF4-L4
